I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:197] Initialize GrpcChannelCache for job ps -> {0 -> localhost:2501}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:197] Initialize GrpcChannelCache for job worker -> {0 -> ps-2:2500}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:211] Started server with target: grpc://localhost:2501
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:197] Initialize GrpcChannelCache for job ps -> {0 -> ps-2:2501}
I tensorflow/core/distributed_runtime/rpc/grpc_channel.cc:197] Initialize GrpcChannelCache for job worker -> {0 -> localhost:2500}
I tensorflow/core/distributed_runtime/rpc/grpc_server_lib.cc:211] Started server with target: grpc://localhost:2500
I tensorflow/core/distributed_runtime/master_session.cc:992] Start master session ff8bfb77c9d1ef73 with config: 
device_filters: "/job:ps"
device_filters: "/job:worker/task:0"
allow_soft_placement: true

job name = worker
task index = 0
Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
4.994928: Worker 0: step 120 (global step: 119 of 60000) loss = 4.06 examples_per_sec = 256.26 

4.922219: Worker 0: step 130 (global step: 129 of 60000) loss = 3.89 examples_per_sec = 260.05 

4.847673: Worker 0: step 140 (global step: 139 of 60000) loss = 3.97 examples_per_sec = 264.04 

5.028501: Worker 0: step 150 (global step: 149 of 60000) loss = 3.92 examples_per_sec = 254.55 

5.106512: Worker 0: step 160 (global step: 159 of 60000) loss = 4.02 examples_per_sec = 250.66 

5.056579: Worker 0: step 170 (global step: 169 of 60000) loss = 3.78 examples_per_sec = 253.14 

5.055987: Worker 0: step 180 (global step: 179 of 60000) loss = 3.88 examples_per_sec = 253.17 

4.884012: Worker 0: step 190 (global step: 189 of 60000) loss = 3.86 examples_per_sec = 262.08 

5.025114: Worker 0: step 200 (global step: 199 of 60000) loss = 4.13 examples_per_sec = 254.72 

5.239768: Worker 0: step 210 (global step: 209 of 60000) loss = 3.78 examples_per_sec = 244.29 

5.321481: Worker 0: step 220 (global step: 219 of 60000) loss = 3.87 examples_per_sec = 240.53 

4.943340: Worker 0: step 230 (global step: 229 of 60000) loss = 3.88 examples_per_sec = 258.93 

5.048947: Worker 0: step 240 (global step: 239 of 60000) loss = 3.62 examples_per_sec = 253.52 

5.034603: Worker 0: step 250 (global step: 249 of 60000) loss = 3.70 examples_per_sec = 254.24 

5.151448: Worker 0: step 260 (global step: 259 of 60000) loss = 3.85 examples_per_sec = 248.47 

5.000324: Worker 0: step 270 (global step: 269 of 60000) loss = 3.66 examples_per_sec = 255.98 

5.267239: Worker 0: step 280 (global step: 279 of 60000) loss = 3.65 examples_per_sec = 243.01 

5.268317: Worker 0: step 290 (global step: 289 of 60000) loss = 3.61 examples_per_sec = 242.96 

5.145792: Worker 0: step 300 (global step: 299 of 60000) loss = 3.55 examples_per_sec = 248.75 

5.125177: Worker 0: step 310 (global step: 309 of 60000) loss = 3.69 examples_per_sec = 249.75 

5.013398: Worker 0: step 320 (global step: 319 of 60000) loss = 3.71 examples_per_sec = 255.32 

5.154942: Worker 0: step 330 (global step: 329 of 60000) loss = 3.48 examples_per_sec = 248.31 

5.196191: Worker 0: step 340 (global step: 339 of 60000) loss = 3.43 examples_per_sec = 246.33 

5.163572: Worker 0: step 350 (global step: 349 of 60000) loss = 3.58 examples_per_sec = 247.89 

5.105373: Worker 0: step 360 (global step: 359 of 60000) loss = 3.45 examples_per_sec = 250.72 

5.100703: Worker 0: step 370 (global step: 369 of 60000) loss = 3.27 examples_per_sec = 250.95 

5.141879: Worker 0: step 380 (global step: 379 of 60000) loss = 3.42 examples_per_sec = 248.94 

5.263466: Worker 0: step 390 (global step: 389 of 60000) loss = 3.17 examples_per_sec = 243.19 

5.260396: Worker 0: step 400 (global step: 399 of 60000) loss = 3.38 examples_per_sec = 243.33 

5.122374: Worker 0: step 410 (global step: 409 of 60000) loss = 3.30 examples_per_sec = 249.88 

5.374441: Worker 0: step 420 (global step: 419 of 60000) loss = 3.23 examples_per_sec = 238.16 

5.166228: Worker 0: step 430 (global step: 429 of 60000) loss = 3.62 examples_per_sec = 247.76 

5.339337: Worker 0: step 440 (global step: 439 of 60000) loss = 3.34 examples_per_sec = 239.73 

5.439965: Worker 0: step 450 (global step: 449 of 60000) loss = 3.13 examples_per_sec = 235.30 

5.133468: Worker 0: step 460 (global step: 459 of 60000) loss = 3.22 examples_per_sec = 249.34 

5.176626: Worker 0: step 470 (global step: 469 of 60000) loss = 3.16 examples_per_sec = 247.27 

5.183955: Worker 0: step 480 (global step: 479 of 60000) loss = 3.19 examples_per_sec = 246.92 

5.221343: Worker 0: step 490 (global step: 489 of 60000) loss = 3.32 examples_per_sec = 245.15 

5.296023: Worker 0: step 500 (global step: 499 of 60000) loss = 3.14 examples_per_sec = 241.69 

5.410598: Worker 0: step 510 (global step: 509 of 60000) loss = 2.97 examples_per_sec = 236.57 

5.427890: Worker 0: step 520 (global step: 519 of 60000) loss = 3.07 examples_per_sec = 235.82 

5.200417: Worker 0: step 530 (global step: 529 of 60000) loss = 3.11 examples_per_sec = 246.13 

5.144679: Worker 0: step 540 (global step: 539 of 60000) loss = 3.10 examples_per_sec = 248.80 

5.362841: Worker 0: step 550 (global step: 549 of 60000) loss = 3.12 examples_per_sec = 238.68 

5.149124: Worker 0: step 560 (global step: 559 of 60000) loss = 2.95 examples_per_sec = 248.59 

5.300443: Worker 0: step 570 (global step: 569 of 60000) loss = 2.91 examples_per_sec = 241.49 

5.364103: Worker 0: step 580 (global step: 579 of 60000) loss = 3.15 examples_per_sec = 238.62 

5.146655: Worker 0: step 590 (global step: 589 of 60000) loss = 3.08 examples_per_sec = 248.71 

5.158782: Worker 0: step 600 (global step: 599 of 60000) loss = 3.04 examples_per_sec = 248.12 

5.116086: Worker 0: step 610 (global step: 609 of 60000) loss = 2.95 examples_per_sec = 250.19 

5.176253: Worker 0: step 620 (global step: 619 of 60000) loss = 3.17 examples_per_sec = 247.28 

5.250757: Worker 0: step 630 (global step: 629 of 60000) loss = 2.96 examples_per_sec = 243.77 

5.368891: Worker 0: step 640 (global step: 639 of 60000) loss = 3.11 examples_per_sec = 238.41 

5.296245: Worker 0: step 650 (global step: 649 of 60000) loss = 2.93 examples_per_sec = 241.68 

5.214436: Worker 0: step 660 (global step: 659 of 60000) loss = 2.77 examples_per_sec = 245.47 

5.438112: Worker 0: step 670 (global step: 669 of 60000) loss = 2.79 examples_per_sec = 235.38 

5.468739: Worker 0: step 680 (global step: 679 of 60000) loss = 2.79 examples_per_sec = 234.06 

5.185809: Worker 0: step 690 (global step: 689 of 60000) loss = 2.85 examples_per_sec = 246.83 

5.224227: Worker 0: step 700 (global step: 699 of 60000) loss = 2.86 examples_per_sec = 245.01 

4.962371: Worker 0: step 710 (global step: 709 of 60000) loss = 2.92 examples_per_sec = 257.94 

5.128263: Worker 0: step 720 (global step: 719 of 60000) loss = 2.72 examples_per_sec = 249.60 

5.152295: Worker 0: step 730 (global step: 729 of 60000) loss = 2.80 examples_per_sec = 248.43 

5.300840: Worker 0: step 740 (global step: 739 of 60000) loss = 2.89 examples_per_sec = 241.47 

5.306165: Worker 0: step 750 (global step: 749 of 60000) loss = 2.84 examples_per_sec = 241.23 

5.203702: Worker 0: step 760 (global step: 759 of 60000) loss = 2.78 examples_per_sec = 245.98 

5.196843: Worker 0: step 770 (global step: 769 of 60000) loss = 2.76 examples_per_sec = 246.30 

5.300060: Worker 0: step 780 (global step: 779 of 60000) loss = 2.65 examples_per_sec = 241.51 

5.534496: Worker 0: step 790 (global step: 789 of 60000) loss = 2.69 examples_per_sec = 231.28 

5.725194: Worker 0: step 800 (global step: 799 of 60000) loss = 2.91 examples_per_sec = 223.57 

5.237823: Worker 0: step 810 (global step: 809 of 60000) loss = 2.68 examples_per_sec = 244.38 

5.328192: Worker 0: step 820 (global step: 819 of 60000) loss = 2.61 examples_per_sec = 240.23 

5.072381: Worker 0: step 830 (global step: 829 of 60000) loss = 3.00 examples_per_sec = 252.35 

5.388246: Worker 0: step 840 (global step: 839 of 60000) loss = 2.64 examples_per_sec = 237.55 

5.307699: Worker 0: step 850 (global step: 849 of 60000) loss = 2.35 examples_per_sec = 241.16 

5.411426: Worker 0: step 860 (global step: 859 of 60000) loss = 2.41 examples_per_sec = 236.54 

5.443899: Worker 0: step 870 (global step: 869 of 60000) loss = 2.64 examples_per_sec = 235.13 

5.269126: Worker 0: step 880 (global step: 879 of 60000) loss = 2.45 examples_per_sec = 242.92 

5.290348: Worker 0: step 890 (global step: 889 of 60000) loss = 2.55 examples_per_sec = 241.95 

5.636636: Worker 0: step 900 (global step: 899 of 60000) loss = 2.81 examples_per_sec = 227.09 

5.410162: Worker 0: step 910 (global step: 909 of 60000) loss = 2.39 examples_per_sec = 236.59 

5.305129: Worker 0: step 920 (global step: 919 of 60000) loss = 2.57 examples_per_sec = 241.28 

5.188366: Worker 0: step 930 (global step: 929 of 60000) loss = 2.56 examples_per_sec = 246.71 

5.371228: Worker 0: step 940 (global step: 939 of 60000) loss = 2.50 examples_per_sec = 238.31 

5.340860: Worker 0: step 950 (global step: 949 of 60000) loss = 2.45 examples_per_sec = 239.66 

5.393647: Worker 0: step 960 (global step: 959 of 60000) loss = 2.57 examples_per_sec = 237.32 

5.434592: Worker 0: step 970 (global step: 969 of 60000) loss = 2.35 examples_per_sec = 235.53 

5.308195: Worker 0: step 980 (global step: 979 of 60000) loss = 2.39 examples_per_sec = 241.14 

5.231556: Worker 0: step 990 (global step: 989 of 60000) loss = 2.41 examples_per_sec = 244.67 

5.318838: Worker 0: step 1000 (global step: 999 of 60000) loss = 2.49 examples_per_sec = 240.65 

Taking a Checkpoint @ Global Step 1000
5.944701: Worker 0: step 1010 (global step: 1009 of 60000) loss = 2.26 examples_per_sec = 215.32 

5.479272: Worker 0: step 1020 (global step: 1019 of 60000) loss = 2.59 examples_per_sec = 233.61 

5.249082: Worker 0: step 1030 (global step: 1029 of 60000) loss = 2.36 examples_per_sec = 243.85 

5.347690: Worker 0: step 1040 (global step: 1039 of 60000) loss = 2.50 examples_per_sec = 239.36 

5.268391: Worker 0: step 1050 (global step: 1049 of 60000) loss = 2.48 examples_per_sec = 242.96 

5.274528: Worker 0: step 1060 (global step: 1059 of 60000) loss = 2.42 examples_per_sec = 242.68 

5.552107: Worker 0: step 1070 (global step: 1069 of 60000) loss = 2.39 examples_per_sec = 230.54 

5.211246: Worker 0: step 1080 (global step: 1079 of 60000) loss = 2.37 examples_per_sec = 245.62 

5.073106: Worker 0: step 1090 (global step: 1089 of 60000) loss = 2.44 examples_per_sec = 252.31 

5.316774: Worker 0: step 1100 (global step: 1099 of 60000) loss = 2.33 examples_per_sec = 240.75 

5.197461: Worker 0: step 1110 (global step: 1109 of 60000) loss = 2.22 examples_per_sec = 246.27 

5.399309: Worker 0: step 1120 (global step: 1119 of 60000) loss = 2.38 examples_per_sec = 237.07 

5.556494: Worker 0: step 1130 (global step: 1129 of 60000) loss = 2.32 examples_per_sec = 230.36 

5.306288: Worker 0: step 1140 (global step: 1139 of 60000) loss = 2.13 examples_per_sec = 241.22 

5.103713: Worker 0: step 1150 (global step: 1149 of 60000) loss = 2.14 examples_per_sec = 250.80 

5.247021: Worker 0: step 1160 (global step: 1159 of 60000) loss = 2.29 examples_per_sec = 243.95 

5.333264: Worker 0: step 1170 (global step: 1169 of 60000) loss = 2.28 examples_per_sec = 240.00 

5.299469: Worker 0: step 1180 (global step: 1179 of 60000) loss = 2.15 examples_per_sec = 241.53 

5.470797: Worker 0: step 1190 (global step: 1189 of 60000) loss = 2.20 examples_per_sec = 233.97 

5.301331: Worker 0: step 1200 (global step: 1199 of 60000) loss = 2.26 examples_per_sec = 241.45 

5.158312: Worker 0: step 1210 (global step: 1209 of 60000) loss = 2.27 examples_per_sec = 248.14 

5.105760: Worker 0: step 1220 (global step: 1219 of 60000) loss = 2.13 examples_per_sec = 250.70 

5.199917: Worker 0: step 1230 (global step: 1229 of 60000) loss = 2.26 examples_per_sec = 246.16 

5.246944: Worker 0: step 1240 (global step: 1239 of 60000) loss = 2.05 examples_per_sec = 243.95 

5.322112: Worker 0: step 1250 (global step: 1249 of 60000) loss = 2.11 examples_per_sec = 240.51 

5.236627: Worker 0: step 1260 (global step: 1259 of 60000) loss = 2.18 examples_per_sec = 244.43 

5.147035: Worker 0: step 1270 (global step: 1269 of 60000) loss = 2.21 examples_per_sec = 248.69 

5.219179: Worker 0: step 1280 (global step: 1279 of 60000) loss = 2.29 examples_per_sec = 245.25 

5.290991: Worker 0: step 1290 (global step: 1289 of 60000) loss = 2.08 examples_per_sec = 241.92 

5.451132: Worker 0: step 1300 (global step: 1299 of 60000) loss = 2.19 examples_per_sec = 234.81 

5.293972: Worker 0: step 1310 (global step: 1309 of 60000) loss = 2.18 examples_per_sec = 241.78 

5.297111: Worker 0: step 1320 (global step: 1319 of 60000) loss = 2.05 examples_per_sec = 241.64 

5.242034: Worker 0: step 1330 (global step: 1329 of 60000) loss = 2.20 examples_per_sec = 244.18 

5.151856: Worker 0: step 1340 (global step: 1339 of 60000) loss = 2.08 examples_per_sec = 248.45 

5.323369: Worker 0: step 1350 (global step: 1349 of 60000) loss = 1.96 examples_per_sec = 240.45 

5.342346: Worker 0: step 1360 (global step: 1359 of 60000) loss = 2.01 examples_per_sec = 239.60 

5.415947: Worker 0: step 1370 (global step: 1369 of 60000) loss = 2.38 examples_per_sec = 236.34 

5.266462: Worker 0: step 1380 (global step: 1379 of 60000) loss = 2.08 examples_per_sec = 243.05 

5.125141: Worker 0: step 1390 (global step: 1389 of 60000) loss = 2.08 examples_per_sec = 249.75 

5.361921: Worker 0: step 1400 (global step: 1399 of 60000) loss = 2.03 examples_per_sec = 238.72 

5.302407: Worker 0: step 1410 (global step: 1409 of 60000) loss = 2.19 examples_per_sec = 241.40 

5.347973: Worker 0: step 1420 (global step: 1419 of 60000) loss = 1.90 examples_per_sec = 239.34 

5.372582: Worker 0: step 1430 (global step: 1429 of 60000) loss = 2.09 examples_per_sec = 238.25 

5.352029: Worker 0: step 1440 (global step: 1439 of 60000) loss = 1.98 examples_per_sec = 239.16 

5.026349: Worker 0: step 1450 (global step: 1449 of 60000) loss = 2.01 examples_per_sec = 254.66 

5.267069: Worker 0: step 1460 (global step: 1459 of 60000) loss = 1.98 examples_per_sec = 243.02 

5.335652: Worker 0: step 1470 (global step: 1469 of 60000) loss = 1.96 examples_per_sec = 239.90 

5.128469: Worker 0: step 1480 (global step: 1479 of 60000) loss = 1.86 examples_per_sec = 249.59 

5.182793: Worker 0: step 1490 (global step: 1489 of 60000) loss = 2.07 examples_per_sec = 246.97 

5.106536: Worker 0: step 1500 (global step: 1499 of 60000) loss = 1.95 examples_per_sec = 250.66 

5.116381: Worker 0: step 1510 (global step: 1509 of 60000) loss = 1.99 examples_per_sec = 250.18 

5.309561: Worker 0: step 1520 (global step: 1519 of 60000) loss = 1.97 examples_per_sec = 241.07 

5.416951: Worker 0: step 1530 (global step: 1529 of 60000) loss = 2.09 examples_per_sec = 236.30 

5.277493: Worker 0: step 1540 (global step: 1539 of 60000) loss = 1.89 examples_per_sec = 242.54 

5.305986: Worker 0: step 1550 (global step: 1549 of 60000) loss = 1.78 examples_per_sec = 241.24 

5.306613: Worker 0: step 1560 (global step: 1559 of 60000) loss = 1.93 examples_per_sec = 241.21 

5.288461: Worker 0: step 1570 (global step: 1569 of 60000) loss = 1.88 examples_per_sec = 242.04 

5.417986: Worker 0: step 1580 (global step: 1579 of 60000) loss = 1.95 examples_per_sec = 236.25 

5.319385: Worker 0: step 1590 (global step: 1589 of 60000) loss = 1.91 examples_per_sec = 240.63 

5.117426: Worker 0: step 1600 (global step: 1599 of 60000) loss = 1.82 examples_per_sec = 250.13 

5.240474: Worker 0: step 1610 (global step: 1609 of 60000) loss = 1.89 examples_per_sec = 244.25 

5.121727: Worker 0: step 1620 (global step: 1619 of 60000) loss = 1.97 examples_per_sec = 249.92 

5.146884: Worker 0: step 1630 (global step: 1629 of 60000) loss = 1.93 examples_per_sec = 248.69 

5.331909: Worker 0: step 1640 (global step: 1639 of 60000) loss = 1.81 examples_per_sec = 240.06 

5.274928: Worker 0: step 1650 (global step: 1649 of 60000) loss = 2.12 examples_per_sec = 242.66 

5.252544: Worker 0: step 1660 (global step: 1659 of 60000) loss = 1.64 examples_per_sec = 243.69 

5.228283: Worker 0: step 1670 (global step: 1669 of 60000) loss = 1.76 examples_per_sec = 244.82 

5.086199: Worker 0: step 1680 (global step: 1679 of 60000) loss = 2.02 examples_per_sec = 251.66 

5.056801: Worker 0: step 1690 (global step: 1689 of 60000) loss = 1.78 examples_per_sec = 253.12 

5.200235: Worker 0: step 1700 (global step: 1699 of 60000) loss = 1.75 examples_per_sec = 246.14 

5.153851: Worker 0: step 1710 (global step: 1709 of 60000) loss = 1.93 examples_per_sec = 248.36 

5.031985: Worker 0: step 1720 (global step: 1719 of 60000) loss = 1.78 examples_per_sec = 254.37 

5.168463: Worker 0: step 1730 (global step: 1729 of 60000) loss = 1.68 examples_per_sec = 247.66 

5.290216: Worker 0: step 1740 (global step: 1739 of 60000) loss = 1.80 examples_per_sec = 241.96 

5.075049: Worker 0: step 1750 (global step: 1749 of 60000) loss = 1.84 examples_per_sec = 252.21 

5.362902: Worker 0: step 1760 (global step: 1759 of 60000) loss = 1.49 examples_per_sec = 238.68 

5.128121: Worker 0: step 1770 (global step: 1769 of 60000) loss = 1.91 examples_per_sec = 249.60 

5.210904: Worker 0: step 1780 (global step: 1779 of 60000) loss = 1.62 examples_per_sec = 245.64 

5.205319: Worker 0: step 1790 (global step: 1789 of 60000) loss = 1.80 examples_per_sec = 245.90 

5.039736: Worker 0: step 1800 (global step: 1799 of 60000) loss = 1.74 examples_per_sec = 253.98 

5.324665: Worker 0: step 1810 (global step: 1809 of 60000) loss = 1.86 examples_per_sec = 240.39 

5.033829: Worker 0: step 1820 (global step: 1819 of 60000) loss = 1.68 examples_per_sec = 254.28 

5.015108: Worker 0: step 1830 (global step: 1829 of 60000) loss = 1.93 examples_per_sec = 255.23 

5.132200: Worker 0: step 1840 (global step: 1839 of 60000) loss = 1.74 examples_per_sec = 249.41 

5.197990: Worker 0: step 1850 (global step: 1849 of 60000) loss = 1.82 examples_per_sec = 246.25 

5.078877: Worker 0: step 1860 (global step: 1859 of 60000) loss = 1.62 examples_per_sec = 252.02 

5.150904: Worker 0: step 1870 (global step: 1869 of 60000) loss = 1.78 examples_per_sec = 248.50 

5.156646: Worker 0: step 1880 (global step: 1879 of 60000) loss = 1.63 examples_per_sec = 248.22 

5.001267: Worker 0: step 1890 (global step: 1889 of 60000) loss = 1.75 examples_per_sec = 255.94 

5.085809: Worker 0: step 1900 (global step: 1899 of 60000) loss = 1.78 examples_per_sec = 251.68 

5.175503: Worker 0: step 1910 (global step: 1909 of 60000) loss = 1.69 examples_per_sec = 247.32 

5.095989: Worker 0: step 1920 (global step: 1919 of 60000) loss = 1.72 examples_per_sec = 251.18 

5.247733: Worker 0: step 1930 (global step: 1929 of 60000) loss = 1.86 examples_per_sec = 243.91 

5.375765: Worker 0: step 1940 (global step: 1939 of 60000) loss = 1.64 examples_per_sec = 238.11 

5.168736: Worker 0: step 1950 (global step: 1949 of 60000) loss = 1.92 examples_per_sec = 247.64 

5.019706: Worker 0: step 1960 (global step: 1959 of 60000) loss = 1.67 examples_per_sec = 255.00 

4.977209: Worker 0: step 1970 (global step: 1969 of 60000) loss = 1.59 examples_per_sec = 257.17 

4.949662: Worker 0: step 1980 (global step: 1979 of 60000) loss = 1.59 examples_per_sec = 258.60 

5.179838: Worker 0: step 1990 (global step: 1989 of 60000) loss = 1.53 examples_per_sec = 247.11 

5.182609: Worker 0: step 2000 (global step: 1999 of 60000) loss = 1.61 examples_per_sec = 246.98 

Taking a Checkpoint @ Global Step 2000
5.872985: Worker 0: step 2010 (global step: 2009 of 60000) loss = 1.69 examples_per_sec = 217.95 

4.949784: Worker 0: step 2020 (global step: 2019 of 60000) loss = 1.65 examples_per_sec = 258.60 

5.198667: Worker 0: step 2030 (global step: 2029 of 60000) loss = 1.55 examples_per_sec = 246.22 

5.260596: Worker 0: step 2040 (global step: 2039 of 60000) loss = 1.54 examples_per_sec = 243.32 

5.392046: Worker 0: step 2050 (global step: 2049 of 60000) loss = 1.63 examples_per_sec = 237.39 

5.164532: Worker 0: step 2060 (global step: 2059 of 60000) loss = 1.73 examples_per_sec = 247.84 

5.041211: Worker 0: step 2070 (global step: 2069 of 60000) loss = 1.59 examples_per_sec = 253.91 

4.987240: Worker 0: step 2080 (global step: 2079 of 60000) loss = 1.55 examples_per_sec = 256.65 

4.987660: Worker 0: step 2090 (global step: 2089 of 60000) loss = 1.40 examples_per_sec = 256.63 

4.907126: Worker 0: step 2100 (global step: 2099 of 60000) loss = 1.51 examples_per_sec = 260.85 

5.253944: Worker 0: step 2110 (global step: 2109 of 60000) loss = 1.67 examples_per_sec = 243.63 

5.268062: Worker 0: step 2120 (global step: 2119 of 60000) loss = 1.49 examples_per_sec = 242.97 

5.044234: Worker 0: step 2130 (global step: 2129 of 60000) loss = 1.70 examples_per_sec = 253.76 

5.016596: Worker 0: step 2140 (global step: 2139 of 60000) loss = 1.44 examples_per_sec = 255.15 

5.050730: Worker 0: step 2150 (global step: 2149 of 60000) loss = 1.57 examples_per_sec = 253.43 

5.011567: Worker 0: step 2160 (global step: 2159 of 60000) loss = 1.91 examples_per_sec = 255.41 

5.196324: Worker 0: step 2170 (global step: 2169 of 60000) loss = 1.51 examples_per_sec = 246.33 

5.083874: Worker 0: step 2180 (global step: 2179 of 60000) loss = 1.52 examples_per_sec = 251.78 

5.012848: Worker 0: step 2190 (global step: 2189 of 60000) loss = 1.41 examples_per_sec = 255.34 

5.038118: Worker 0: step 2200 (global step: 2199 of 60000) loss = 1.68 examples_per_sec = 254.06 

5.077969: Worker 0: step 2210 (global step: 2209 of 60000) loss = 1.58 examples_per_sec = 252.07 

4.976594: Worker 0: step 2220 (global step: 2219 of 60000) loss = 1.53 examples_per_sec = 257.20 

5.095290: Worker 0: step 2230 (global step: 2229 of 60000) loss = 1.38 examples_per_sec = 251.21 

5.056075: Worker 0: step 2240 (global step: 2239 of 60000) loss = 1.60 examples_per_sec = 253.16 

5.057634: Worker 0: step 2250 (global step: 2249 of 60000) loss = 1.56 examples_per_sec = 253.08 

4.985050: Worker 0: step 2260 (global step: 2259 of 60000) loss = 1.62 examples_per_sec = 256.77 

4.972533: Worker 0: step 2270 (global step: 2269 of 60000) loss = 1.56 examples_per_sec = 257.41 

5.291790: Worker 0: step 2280 (global step: 2279 of 60000) loss = 1.63 examples_per_sec = 241.88 

5.243755: Worker 0: step 2290 (global step: 2289 of 60000) loss = 1.29 examples_per_sec = 244.10 

4.986189: Worker 0: step 2300 (global step: 2299 of 60000) loss = 1.49 examples_per_sec = 256.71 

5.004619: Worker 0: step 2310 (global step: 2309 of 60000) loss = 1.52 examples_per_sec = 255.76 

5.114845: Worker 0: step 2320 (global step: 2319 of 60000) loss = 1.34 examples_per_sec = 250.25 

4.979142: Worker 0: step 2330 (global step: 2329 of 60000) loss = 1.50 examples_per_sec = 257.07 

5.089304: Worker 0: step 2340 (global step: 2339 of 60000) loss = 1.44 examples_per_sec = 251.51 

5.372770: Worker 0: step 2350 (global step: 2349 of 60000) loss = 1.50 examples_per_sec = 238.24 

5.235617: Worker 0: step 2360 (global step: 2359 of 60000) loss = 1.35 examples_per_sec = 244.48 

5.133220: Worker 0: step 2370 (global step: 2369 of 60000) loss = 1.40 examples_per_sec = 249.36 

4.929912: Worker 0: step 2380 (global step: 2379 of 60000) loss = 1.52 examples_per_sec = 259.64 

5.130290: Worker 0: step 2390 (global step: 2389 of 60000) loss = 1.62 examples_per_sec = 249.50 

5.136745: Worker 0: step 2400 (global step: 2399 of 60000) loss = 1.46 examples_per_sec = 249.19 

5.108527: Worker 0: step 2410 (global step: 2409 of 60000) loss = 1.43 examples_per_sec = 250.56 

5.074320: Worker 0: step 2420 (global step: 2419 of 60000) loss = 1.40 examples_per_sec = 252.25 

4.940373: Worker 0: step 2430 (global step: 2429 of 60000) loss = 1.58 examples_per_sec = 259.09 

5.077603: Worker 0: step 2440 (global step: 2439 of 60000) loss = 1.68 examples_per_sec = 252.09 

4.993192: Worker 0: step 2450 (global step: 2449 of 60000) loss = 1.39 examples_per_sec = 256.35 

5.107217: Worker 0: step 2460 (global step: 2459 of 60000) loss = 1.49 examples_per_sec = 250.63 

5.154933: Worker 0: step 2470 (global step: 2469 of 60000) loss = 1.39 examples_per_sec = 248.31 

4.988643: Worker 0: step 2480 (global step: 2479 of 60000) loss = 1.34 examples_per_sec = 256.58 

4.993903: Worker 0: step 2490 (global step: 2489 of 60000) loss = 1.49 examples_per_sec = 256.31 

4.980738: Worker 0: step 2500 (global step: 2499 of 60000) loss = 1.72 examples_per_sec = 256.99 

5.444448: Worker 0: step 2510 (global step: 2509 of 60000) loss = 1.32 examples_per_sec = 235.10 

